LOCATION.X,LOCATION.Y,LOCATION.Z,ROTATION.ROLL,ROTATION.YAW,ROTATION.PITCH,LANE_WIDTH,LOCATION.X OF LEFT WAYPOINTS,LOCATION.Y OF LEFT WAYPOINTS,LOCATION.Z OF LEFT WAYPOINTS,LOCATION.X OF RIGHT WAYPOINT,LOCATION.Y OF RIGHT WAYPOINT,LOCATION.Z OF RIGHT WAYPOINT,ROAD_OPTION
234.3111572265625,-110.74011993408203,0.0,0.0,91.39320373535156,0.0,3.5,237.81011962890625,-110.65502166748047,0.0,231.31204223632812,-110.81305694580078,0.0,RoadOption.LANEFOLLOW
234.28684997558594,-109.74040985107422,0.0,0.0,91.39320373535156,0.0,3.5,237.7858123779297,-109.65531158447266,0.0,231.28773498535156,-109.81334686279297,0.0,RoadOption.LANEFOLLOW
234.26254272460938,-108.74070739746094,0.0,0.0,91.39320373535156,0.0,3.5,237.76150512695312,-108.65560913085938,0.0,231.263427734375,-108.81364440917969,0.0,RoadOption.LANEFOLLOW
234.23822021484375,-107.74100494384766,0.0,0.0,91.39320373535156,0.0,3.5,237.7371826171875,-107.6559066772461,0.0,231.23910522460938,-107.8139419555664,0.0,RoadOption.LANEFOLLOW
234.2139129638672,-106.74129486083984,0.0,0.0,91.39320373535156,0.0,3.5,237.71287536621094,-106.65619659423828,0.0,231.2147979736328,-106.8142318725586,0.0,RoadOption.LANEFOLLOW
234.18959045410156,-105.74159240722656,0.0,0.0,91.39320373535156,0.0,3.5,237.6885528564453,-105.656494140625,0.0,231.1904754638672,-105.81452941894531,0.0,RoadOption.LANEFOLLOW
234.165283203125,-104.74188995361328,0.0,0.0,91.39320373535156,0.0,3.5,237.66424560546875,-104.65679168701172,0.0,231.16616821289062,-104.81482696533203,0.0,RoadOption.LANEFOLLOW
234.14096069335938,-103.74217987060547,0.0,0.0,91.39320373535156,0.0,3.5,237.63992309570312,-103.6570816040039,0.0,231.141845703125,-103.81511688232422,0.0,RoadOption.LANEFOLLOW
234.1166534423828,-102.74248504638672,0.0,0.0,91.39320373535156,0.0,3.5,237.61561584472656,-102.65738677978516,0.0,231.11753845214844,-102.81542205810547,0.0,RoadOption.LANEFOLLOW
234.09234619140625,-101.7427749633789,0.0,0.0,91.39320373535156,0.0,3.5,237.59130859375,-101.65767669677734,0.0,231.09323120117188,-101.81571197509766,0.0,RoadOption.LANEFOLLOW
234.06802368164062,-100.74307250976562,0.0,0.0,91.39320373535156,0.0,3.5,237.56698608398438,-100.65797424316406,0.0,231.06890869140625,-100.81600952148438,0.0,RoadOption.LANEFOLLOW
234.04371643066406,-99.74337005615234,0.0,0.0,91.39320373535156,0.0,3.5,237.5426788330078,-99.65827178955078,0.0,231.0446014404297,-99.8163070678711,0.0,RoadOption.LANEFOLLOW
234.01939392089844,-98.74365997314453,0.0,0.0,91.39320373535156,0.0,3.5,237.5183563232422,-98.65856170654297,0.0,231.02027893066406,-98.81659698486328,0.0,RoadOption.LANEFOLLOW
233.99508666992188,-97.74395751953125,0.0,0.0,91.39320373535156,0.0,3.5,237.49404907226562,-97.65885925292969,0.0,230.9959716796875,-97.81689453125,0.0,RoadOption.LANEFOLLOW
233.9707794189453,-96.74425506591797,0.0,0.0,91.39320373535156,0.0,3.5,237.46974182128906,-96.6591567993164,0.0,230.97166442871094,-96.81719207763672,0.0,RoadOption.LANEFOLLOW
233.9464569091797,-95.74454498291016,0.0,0.0,91.39320373535156,0.0,3.5,237.44541931152344,-95.6594467163086,0.0,230.9473419189453,-95.8174819946289,0.0,RoadOption.LANEFOLLOW
233.92214965820312,-94.7448501586914,0.0,0.0,91.39320373535156,0.0,3.5,237.42111206054688,-94.65975189208984,0.0,230.92303466796875,-94.81778717041016,0.0,RoadOption.LANEFOLLOW
233.8978271484375,-93.7451400756836,0.0,0.0,91.39320373535156,0.0,3.5,237.39678955078125,-93.66004180908203,0.0,230.89871215820312,-93.81807708740234,0.0,RoadOption.LANEFOLLOW
233.87351989746094,-92.74543762207031,0.0,0.0,91.39320373535156,0.0,3.5,237.3724822998047,-92.66033935546875,0.0,230.87440490722656,-92.81837463378906,0.0,RoadOption.LANEFOLLOW
233.8491973876953,-91.74573516845703,0.0,0.0,91.39320373535156,0.0,3.5,237.34815979003906,-91.66063690185547,0.0,230.85008239746094,-91.81867218017578,0.0,RoadOption.LANEFOLLOW
233.82489013671875,-90.74602508544922,0.0,0.0,91.39320373535156,0.0,3.5,237.3238525390625,-90.66092681884766,0.0,230.82577514648438,-90.81896209716797,0.0,RoadOption.LANEFOLLOW
233.8005828857422,-89.74632263183594,0.0,0.0,91.39320373535156,0.0,3.5,237.29954528808594,-89.66122436523438,0.0,230.8014678955078,-89.81925964355469,0.0,RoadOption.LANEFOLLOW
233.77626037597656,-88.74662017822266,0.0,0.0,91.39320373535156,0.0,3.5,237.2752227783203,-88.6615219116211,0.0,230.7771453857422,-88.8195571899414,0.0,RoadOption.LANEFOLLOW
233.751953125,-87.74691009521484,0.0,0.0,91.39320373535156,0.0,3.5,237.25091552734375,-87.66181182861328,0.0,230.75283813476562,-87.8198471069336,0.0,RoadOption.LANEFOLLOW
233.72763061523438,-86.7472152709961,0.0,0.0,91.39320373535156,0.0,3.5,237.22659301757812,-86.66211700439453,0.0,230.728515625,-86.82015228271484,0.0,RoadOption.LANEFOLLOW
233.7033233642578,-85.74750518798828,0.0,0.0,91.39320373535156,0.0,3.5,237.20228576660156,-85.66240692138672,0.0,230.70420837402344,-85.82044219970703,0.0,RoadOption.LANEFOLLOW
233.6790008544922,-84.747802734375,0.0,0.0,91.39320373535156,0.0,3.5,237.17796325683594,-84.66270446777344,0.0,230.6798858642578,-84.82073974609375,0.0,RoadOption.LANEFOLLOW
233.65469360351562,-83.74810028076172,0.0,0.0,91.39320373535156,0.0,3.5,237.15365600585938,-83.66300201416016,0.0,230.65557861328125,-83.82103729248047,0.0,RoadOption.LANEFOLLOW
233.63038635253906,-82.7483901977539,0.0,0.0,91.39320373535156,0.0,3.5,237.1293487548828,-82.66329193115234,0.0,230.6312713623047,-82.82132720947266,0.0,RoadOption.LANEFOLLOW
233.60606384277344,-81.74868774414062,0.0,0.0,91.39320373535156,0.0,3.5,237.1050262451172,-81.66358947753906,0.0,230.60694885253906,-81.82162475585938,0.0,RoadOption.LANEFOLLOW
